*************** 👨‍🌾 UNOFFICIAL SUSHISWAP FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://app.sushi.com/farms/
****************************************************************************

Thu Jan 27 2022 19:28:25 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 348 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.------------------------------------------------------------------------------------------------------.
|                                                Sushi                                                 |
|------------------------------------------------------------------------------------------------------|
|  #  |         Pair         | Total Staked | Total $ Staked  | Reward |   APR   |      My Stake       |
| 117 | [WETH]-[RGT] SLP     |   11411.7104 |   $5,989,823.90 | SUSHI  |  21.03% | 0.00 ($0.00), 0.00% |
| 118 | [IDLE]-[WETH] SLP    |    1406.0270 |     $186,442.76 | SUSHI  |  11.12% | 0.00 ($0.00), 0.00% |
| 120 | [SDT]-[WETH] SLP     |    6121.7611 |     $880,368.82 | SUSHI  |   1.09% | 0.00 ($0.00), 0.00% |
| 123 | [WETH]-[aETHc] SLP   |     105.9082 |     $500,152.78 | SUSHI  |   1.59% | 0.00 ($0.00), 0.00% |
| 125 | MITHCHEF             |       1.0000 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 127 | [ARMOR]-[WETH] SLP   |    1896.4940 |      $40,029.73 | SUSHI  |  11.95% | 0.00 ($0.00), 0.00% |
| 129 | [ALPHA]-[ibETHv2]... |       0.8749 |     $557,635.41 | SUSHI  |   1.43% | 0.00 ($0.00), 0.00% |
| 133 | [TORN]-[WETH] SLP    |    1082.3178 |     $579,745.11 | SUSHI  |   5.77% | 0.00 ($0.00), 0.00% |
| 135 | [VSP]-[WETH] SLP     |    3984.1699 |     $833,928.98 | SUSHI  |   5.35% | 0.00 ($0.00), 0.00% |
| 138 | [DAO]-[WETH] SLP     |    2242.2839 |     $413,311.33 | SUSHI  |   4.63% | 0.00 ($0.00), 0.00% |
| 139 | [WETH]-[GRT] SLP     |   13453.9240 |     $924,194.87 | SUSHI  |   6.04% | 0.00 ($0.00), 0.00% |
| 140 | [FTM]-[WETH] SLP     |   67888.1171 |  $13,924,348.39 | SUSHI  |   4.03% | 0.00 ($0.00), 0.00% |
| 141 | [WETH]-[ANY] SLP     |   20469.7963 |  $11,171,372.52 | SUSHI  |   0.64% | 0.00 ($0.00), 0.00% |
| 152 | [DERI]-[USDT] SLP    |       1.7537 |   $1,379,264.74 | SUSHI  |   0.35% | 0.00 ($0.00), 0.00% |
| 153 | [PREMIA]-[WETH] SLP  |   38897.2141 |   $5,814,984.07 | SUSHI  |   1.10% | 0.00 ($0.00), 0.00% |
| 154 | [BANK]-[WETH] SLP    |     980.8682 |     $532,913.38 | SUSHI  |  24.23% | 0.00 ($0.00), 0.00% |
| 156 | [PERP]-[WETH] SLP    |    2038.8463 |     $528,807.98 | SUSHI  |  11.76% | 0.00 ($0.00), 0.00% |
| 157 | [WSCRT]-[WETH] SLP   |       0.0009 |     $243,087.21 | SUSHI  |   1.31% | 0.00 ($0.00), 0.00% |
| 164 | [RLC]-[WETH] SLP     |       0.1247 |     $578,048.37 | SUSHI  |   1.10% | 0.00 ($0.00), 0.00% |
| 169 | [MASK]-[USDC] SLP    |       0.0092 |      $48,805.55 | SUSHI  |  52.26% | 0.00 ($0.00), 0.00% |
| 170 | [WETH]-[ROOK] SLP    |    1083.5728 |   $1,204,547.06 | SUSHI  |   8.21% | 0.00 ($0.00), 0.00% |
| 173 | [INV]-[WETH] SLP     |     154.9629 |     $449,098.75 | SUSHI  |   1.77% | 0.00 ($0.00), 0.00% |
| 175 | [OCEAN]-[WETH] SLP   |    2862.6984 |     $227,044.09 | SUSHI  |   9.13% | 0.00 ($0.00), 0.00% |
| 186 | [POOL]-[WETH] SLP    |     256.8361 |      $47,008.13 | SUSHI  |  10.17% | 0.00 ($0.00), 0.00% |
| 188 | [BZRX]-[WETH] SLP    |    1924.0216 |      $80,146.27 | SUSHI  |   1.99% | 0.00 ($0.00), 0.00% |
| 190 | kmWETH/USDT-LINK     |   23094.7605 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
