*************** 👨‍🌾 UNOFFICIAL SUSHISWAP FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://app.sushi.com/farms/
****************************************************************************

Mon Sep 13 2021 10:11:57 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 298 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.------------------------------------------------------------------------------------------------------.
|                                                Sushi                                                 |
|------------------------------------------------------------------------------------------------------|
|  #  |         Pair         | Total Staked | Total $ Staked  | Reward |   APR   |      My Stake       |
|  79 | [ICHI]-[WETH] SLP    |       0.0144 |     $106,426.35 | SUSHI  |  29.95% | 0.00 ($0.00), 0.00% |
|  85 | [UST]-[WETH] SLP     |   23022.8484 |   $3,021,261.60 | SUSHI  |  10.55% | 0.00 ($0.00), 0.00% |
|  87 | [WETH]-[BCP] SLP     |    2511.8542 |     $551,836.96 | SUSHI  |   7.70% | 0.00 ($0.00), 0.00% |
|  88 | [YPIE]-[WETH] SLP    |    4236.3666 |     $751,098.09 | SUSHI  |   2.83% | 0.00 ($0.00), 0.00% |
|  91 | [DDX]-[USDC] SLP     |       0.0387 |     $235,251.47 | SUSHI  |  36.13% | 0.00 ($0.00), 0.00% |
|  96 | [ALPHA]-[WETH] SLP   |   18570.1163 |   $2,948,093.90 | SUSHI  |  19.82% | 0.00 ($0.00), 0.00% |
|  98 | [WETH]-[CRETH2] SLP  |     616.9215 |   $3,765,539.12 | SUSHI  |   1.13% | 0.00 ($0.00), 0.00% |
|  99 | [DUSD]-[WETH] SLP    |    1997.6391 |     $234,780.31 | SUSHI  |   9.05% | 0.00 ($0.00), 0.00% |
| 100 | [ANT]-[WETH] SLP     |    5828.6990 |   $1,703,971.35 | SUSHI  |   3.12% | 0.00 ($0.00), 0.00% |
| 102 | SAFFRONCHEF          |       1.0000 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 103 | [WBTC]-[DIGG] SLP    |       0.0000 |  $10,932,146.28 | SUSHI  |   4.86% | 0.00 ($0.00), 0.00% |
| 104 | [NFTX]-[WETH] SLP    |     976.0261 |   $1,422,326.87 | SUSHI  |  38.10% | 0.00 ($0.00), 0.00% |
| 105 | [API3]-[WETH] SLP    |    2969.8545 |     $840,222.72 | SUSHI  |  37.94% | 0.00 ($0.00), 0.00% |
| 109 | [LDO]-[WETH] SLP     |   45716.8388 |  $14,145,025.46 | SUSHI  |   7.51% | 0.00 ($0.00), 0.00% |
| 111 | [WETH]-[pWING] SLP   |       0.0034 |      $58,073.25 | SUSHI  |  36.59% | 0.00 ($0.00), 0.00% |
| 112 | [TUSD]-[WETH] SLP    |   21681.4540 |   $2,626,125.25 | SUSHI  |  12.14% | 0.00 ($0.00), 0.00% |
| 113 | [ALEPH]-[WETH] SLP   |    3502.9553 |     $290,418.14 | SUSHI  |  25.61% | 0.00 ($0.00), 0.00% |
| 115 | [MTA]-[WETH] SLP     |    2930.5599 |     $333,997.67 | SUSHI  |  19.09% | 0.00 ($0.00), 0.00% |
| 117 | [WETH]-[RGT] SLP     |   11637.0045 |   $5,735,832.55 | SUSHI  |  33.34% | 0.00 ($0.00), 0.00% |
| 118 | [IDLE]-[WETH] SLP    |    7921.1150 |   $2,520,178.36 | SUSHI  |  42.16% | 0.00 ($0.00), 0.00% |
| 120 | [SDT]-[WETH] SLP     |    3019.1005 |     $401,592.96 | SUSHI  |  26.46% | 0.00 ($0.00), 0.00% |
| 121 | [GNO]-[WETH] SLP     |     154.5101 |     $303,380.18 | SUSHI  |  17.51% | 0.00 ($0.00), 0.00% |
| 123 | [WETH]-[aETHc] SLP   |     299.1526 |   $1,932,259.25 | SUSHI  |   2.75% | 0.00 ($0.00), 0.00% |
| 125 | MITHCHEF             |       1.0000 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 127 | [ARMOR]-[WETH] SLP   |    4547.3366 |     $215,827.29 | SUSHI  |  49.23% | 0.00 ($0.00), 0.00% |
| 129 | [ALPHA]-[ibETHv2]... |       1.4371 |   $1,795,735.17 | SUSHI  |  20.71% | 0.00 ($0.00), 0.00% |
| 130 | [renDOGE]-[WETH] SLP |       0.1631 |   $1,022,385.82 | SUSHI  |  25.98% | 0.00 ($0.00), 0.00% |
| 133 | [TORN]-[WETH] SLP    |     467.0074 |     $477,418.68 | SUSHI  |  22.26% | 0.00 ($0.00), 0.00% |
| 135 | [VSP]-[WETH] SLP     |   11469.6080 |   $4,459,618.47 | SUSHI  |  10.72% | 0.00 ($0.00), 0.00% |
| 136 | [WETH]-[YLD] SLP     |     150.6286 |      $58,880.59 | SUSHI  |  36.09% | 0.00 ($0.00), 0.00% |
